template,concept
This is the face of a person who likes {},painting
This is a photo of a person who likes {},arranging flowers
This person likes {},playing tennis
A person who likes {},playing skateboarding
Photo of a person who likes {},playing baseball
This is a person who likes {},playing soccer
,playing football
,playing snowboarding
,playing skiing
,cleaning
,dressmaking
,tying tie
,smiling
,crying
,laughing
,cooking
,making pizza
,dancing
,drinking beer
,drinking wine
,eating hotdog
,eating cake
,using computer
,playing game
,gardening
,singinig
,petting dog
,petting cat
,makeup
,shopping
,playing piano
,playing guitar
,carrying baby
